shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
B00690048,50.643425,4.317531,170011
B00690048,50.643550,4.317467,170012
B00690048,50.643642,4.317436,170013
B00690048,50.643710,4.317413,170014
B00690048,50.643753,4.317355,170015
B00690048,50.643971,4.317298,170016
B00690048,50.644023,4.317284,170017
B00690048,50.644205,4.317233,170018
B00690048,50.644544,4.317151,170019
B00690048,50.644824,4.317092,170020
B00690048,50.644880,4.317078,170021
B00690048,50.645025,4.317060,170022
B00690048,50.645075,4.317054,170023
B00690048,50.645075,4.317054,180001
B00690048,50.645591,4.316987,180002
B00690048,50.646029,4.316950,180003
B00690048,50.646484,4.316959,180004
B00690048,50.646848,4.316945,180005
B00690048,50.646921,4.316935,180006
B00690048,50.647209,4.316900,180007
B00690048,50.647484,4.316821,180008
B00690048,50.648432,4.316246,180009
B00690048,50.648888,4.315906,180010
B00690048,50.648956,4.315854,180011
B00690048,50.649292,4.315593,180012
B00690048,50.651037,4.314128,180013
B00690048,50.651275,4.313917,180014
B00690048,50.651629,4.313604,180015
B00690048,50.651950,4.313298,180016
B00690048,50.652466,4.312667,180017
B00690048,50.652628,4.312463,180018
