trip_id,arrival_time,departure_time,stop_id,stop_sequence,pickup_type,drop_off_type
45975322-B_2025-BW_A_P4-Sem-Vac-01,12:02:00,12:02:00,Cglbras1,7,0,0
45975322-B_2025-BW_A_P4-Sem-Vac-01,12:04:00,12:04:00,Bgnpchb1,8,0,0
45975322-B_2025-BW_A_P4-Sem-Vac-01,12:14:00,12:14:00,Bcsebea3,9,0,0
45975322-B_2025-BW_A_P4-Sem-Vac-01,12:18:00,12:18:00,Bllnpaf2,10,0,0
45975322-B_2025-BW_A_P4-Sem-Vac-01,12:20:00,12:20:00,Bllngr04,11,0,0
45975323-B_2025-BW_A_P4-Sem-Vac-01,12:47:00,12:47:00,Bblagr03,1,0,0
45975323-B_2025-BW_A_P4-Sem-Vac-01,12:49:00,12:49:00,Bblamsj2,2,0,0
45975323-B_2025-BW_A_P4-Sem-Vac-01,12:51:00,12:51:00,Bblacco2,3,0,0
45975323-B_2025-BW_A_P4-Sem-Vac-01,12:55:00,12:55:00,Bwatmsj8,4,0,0
45975323-B_2025-BW_A_P4-Sem-Vac-01,12:55:00,12:55:00,Bwatms09,5,0,0
45975323-B_2025-BW_A_P4-Sem-Vac-01,12:58:00,12:58:00,Clpalli1,6,0,0
45975323-B_2025-BW_A_P4-Sem-Vac-01,13:02:00,13:02:00,Cglbras1,7,0,0
45975323-B_2025-BW_A_P4-Sem-Vac-01,13:04:00,13:04:00,Bgnpchb1,8,0,0
45975323-B_2025-BW_A_P4-Sem-Vac-01,13:14:00,13:14:00,Bcsebea3,9,0,0
45975323-B_2025-BW_A_P4-Sem-Vac-01,13:18:00,13:18:00,Bllnpaf2,10,0,0
45975323-B_2025-BW_A_P4-Sem-Vac-01,13:20:00,13:20:00,Bllngr04,11,0,0
45975324-B_2025-BW_A_P4-Sem-Vac-01,13:47:00,13:47:00,Bblagr03,1,0,0
45975324-B_2025-BW_A_P4-Sem-Vac-01,13:49:00,13:49:00,Bblamsj2,2,0,0
45975324-B_2025-BW_A_P4-Sem-Vac-01,13:51:00,13:51:00,Bblacco2,3,0,0
45975324-B_2025-BW_A_P4-Sem-Vac-01,13:55:00,13:55:00,Bwatmsj8,4,0,0
45975324-B_2025-BW_A_P4-Sem-Vac-01,13:55:00,13:55:00,Bwatms09,5,0,0
45975324-B_2025-BW_A_P4-Sem-Vac-01,13:58:00,13:58:00,Clpalli1,6,0,0
45975324-B_2025-BW_A_P4-Sem-Vac-01,14:02:00,14:02:00,Cglbras1,7,0,0
45975324-B_2025-BW_A_P4-Sem-Vac-01,14:04:00,14:04:00,Bgnpchb1,8,0,0
45975324-B_2025-BW_A_P4-Sem-Vac-01,14:14:00,14:14:00,Bcsebea3,9,0,0
45975324-B_2025-BW_A_P4-Sem-Vac-01,14:18:00,14:18:00,Bllnpaf2,10,0,0
45975324-B_2025-BW_A_P4-Sem-Vac-01,14:20:00,14:20:00,Bllngr04,11,0,0
45975325-B_2025-BW_A_P4-Sem-Vac-01,14:47:00,14:47:00,Bblagr03,1,0,0
45975325-B_2025-BW_A_P4-Sem-Vac-01,14:49:00,14:49:00,Bblamsj2,2,0,0
45975325-B_2025-BW_A_P4-Sem-Vac-01,14:51:00,14:51:00,Bblacco2,3,0,0
45975325-B_2025-BW_A_P4-Sem-Vac-01,14:55:00,14:55:00,Bwatmsj8,4,0,0
45975325-B_2025-BW_A_P4-Sem-Vac-01,14:55:00,14:55:00,Bwatms09,5,0,0
45975325-B_2025-BW_A_P4-Sem-Vac-01,14:58:00,14:58:00,Clpalli1,6,0,0
45975325-B_2025-BW_A_P4-Sem-Vac-01,15:02:00,15:02:00,Cglbras1,7,0,0
45975325-B_2025-BW_A_P4-Sem-Vac-01,15:04:00,15:04:00,Bgnpchb1,8,0,0
45975325-B_2025-BW_A_P4-Sem-Vac-01,15:14:00,15:14:00,Bcsebea3,9,0,0
45975325-B_2025-BW_A_P4-Sem-Vac-01,15:18:00,15:18:00,Bllnpaf2,10,0,0
45975325-B_2025-BW_A_P4-Sem-Vac-01,15:20:00,15:20:00,Bllngr04,11,0,0
45975326-B_2025-BW_A_P4-Sem-Vac-01,15:47:00,15:47:00,Bblagr03,1,0,0
45975326-B_2025-BW_A_P4-Sem-Vac-01,15:49:00,15:49:00,Bblamsj2,2,0,0
45975326-B_2025-BW_A_P4-Sem-Vac-01,15:51:00,15:51:00,Bblacco2,3,0,0
45975326-B_2025-BW_A_P4-Sem-Vac-01,15:55:00,15:55:00,Bwatmsj8,4,0,0
45975326-B_2025-BW_A_P4-Sem-Vac-01,15:55:00,15:55:00,Bwatms09,5,0,0
45975326-B_2025-BW_A_P4-Sem-Vac-01,15:58:00,15:58:00,Clpalli1,6,0,0
45975326-B_2025-BW_A_P4-Sem-Vac-01,16:02:00,16:02:00,Cglbras1,7,0,0
45975326-B_2025-BW_A_P4-Sem-Vac-01,16:04:00,16:04:00,Bgnpchb1,8,0,0
